id,rank,discipline,sex,salary
7709,AssocProf,A,Male,82099
7710,AssocProf,A,Male,82600
7711,AssocProf,A,Male,81500
7712,Prof,A,Male,131205
7713,Prof,A,Male,112429
7714,AssocProf,A,Male,82100
7715,AsstProf,A,Male,72500
7716,Prof,A,Male,104279
7717,Prof,A,Female,105000
7718,Prof,A,Male,120806
7719,Prof,A,Male,148500
7720,Prof,A,Male,117515
7721,AsstProf,A,Male,72500
7722,AsstProf,A,Female,73500
7723,Prof,A,Male,115313
7724,Prof,A,Male,124309
7725,Prof,A,Male,97262
7726,AssocProf,A,Female,62884
7727,Prof,A,Male,96614
7728,Prof,A,Male,78162
7729,Prof,A,Male,155500
7730,AsstProf,A,Female,72500
7731,Prof,A,Male,113278
7732,AsstProf,A,Male,73000
7733,AssocProf,A,Male,83001
7734,Prof,A,Male,76840
7735,AssocProf,A,Female,77500
7736,AsstProf,A,Female,72500
7737,Prof,A,Male,168635
7738,Prof,A,Male,136000
7739,Prof,A,Male,108262
7740,Prof,A,Male,105668
7741,AssocProf,A,Male,73877
7742,Prof,A,Male,152664
7743,AssocProf,A,Male,100102
7744,AssocProf,A,Male,81500
7745,Prof,A,Male,106608
7746,AsstProf,B,Male,89942
7747,Prof,B,Male,112696
7748,Prof,B,Male,119015
7749,AsstProf,B,Male,92000
7750,Prof,B,Male,156938
7751,Prof,B,Female,144651
7752,AsstProf,B,Male,95079
7753,Prof,B,Male,128148
7754,AsstProf,B,Male,92000
7755,Prof,B,Male,111168
7756,AssocProf,B,Female,103994
7757,AsstProf,B,Male,92000
7758,Prof,B,Male,118971
7759,AssocProf,B,Male,113341
7760,AsstProf,B,Male,88000
7761,AssocProf,B,Male,95408
7762,Prof,B,Male,137167
7763,AsstProf,B,Male,89516
7764,Prof,B,Male,176500
7765,AssocProf,B,Male,98510
7766,AsstProf,B,Male,89942
7767,AsstProf,B,Male,88795
7768,Prof,B,Male,105890
7769,Prof,B,Male,167284
7770,Prof,B,Male,130664
7771,AssocProf,B,Male,101210
7772,Prof,B,Male,181257
7773,AsstProf,B,Male,91227
7774,Prof,B,Male,151575
7775,Prof,B,Male,93164
7776,Prof,B,Male,134185
7777,AssocProf,B,Male,105000
7778,Prof,B,Male,111751
7779,AssocProf,B,Male,95436
7780,AssocProf,B,Male,100944
7781,Prof,B,Male,147349
7782,AsstProf,B,Female,92000
7783,Prof,B,Male,142467
7784,Prof,B,Male,141136
7785,AssocProf,B,Male,100000
7786,Prof,B,Male,150000
7787,Prof,B,Male,101000
7788,Prof,B,Male,134000
7789,AssocProf,B,Female,103750
7790,Prof,B,Male,107500
7791,AssocProf,B,Male,106300
7792,Prof,B,Male,153750
7793,Prof,B,Male,180000
7794,Prof,B,Male,133700
7795,Prof,B,Male,122100
7796,AssocProf,B,Male,86250
7797,AssocProf,B,Male,90000
7798,AssocProf,B,Male,113600
7799,AsstProf,B,Male,92700
7800,AsstProf,B,Male,92000
7801,Prof,B,Male,189409
7802,Prof,B,Male,114500
7803,AsstProf,B,Male,92700
7804,Prof,B,Male,119700
7805,Prof,B,Male,160400
7806,Prof,B,Male,152500
7807,Prof,B,Male,165000
7808,Prof,B,Male,96545
7809,Prof,B,Male,162200
7810,Prof,B,Male,120000
7811,AsstProf,B,Male,91300
7812,Prof,B,Male,163200
7813,AsstProf,B,Male,91000
7814,Prof,B,Male,111350
7815,Prof,B,Male,128400
7816,Prof,B,Male,126200
7817,AssocProf,B,Male,118700
7818,Prof,B,Male,145350
7819,Prof,B,Male,146000
7820,AssocProf,B,Male,105350
7821,AssocProf,B,Female,109650
7822,Prof,B,Male,119500
7823,Prof,B,Male,170000
7824,Prof,B,Male,145200
7825,AssocProf,B,Male,107150
7826,Prof,B,Male,129600
7827,Prof,A,Male,87800
7828,Prof,A,Male,122400
7829,AsstProf,A,Male,63900
7830,AssocProf,A,Male,70000
7831,Prof,A,Male,88175
7832,Prof,A,Male,133900
7833,Prof,A,Female,91000
7834,AssocProf,A,Female,73300
7835,Prof,A,Male,148750
7836,Prof,A,Female,117555
7837,AsstProf,A,Male,69700
7838,Prof,A,Male,81700
7839,Prof,A,Male,114000
7840,AsstProf,A,Female,63100
7841,Prof,A,Male,77202
7842,Prof,A,Male,96200
7843,AsstProf,A,Male,69200
7844,Prof,A,Male,122875
7845,Prof,A,Male,102600
7846,Prof,A,Male,108200
7847,Prof,A,Male,84273
7848,Prof,A,Female,90450
7849,Prof,A,Male,91100
7850,Prof,A,Male,101100
7851,Prof,A,Male,128800
7852,Prof,A,Male,204000
7853,Prof,A,Male,109000
7854,Prof,A,Male,102000
7855,Prof,A,Male,132000
7856,AsstProf,A,Female,77500
7857,Prof,A,Female,116450
7858,AssocProf,A,Male,83000
7859,Prof,A,Male,140300
7860,AssocProf,A,Male,74000
7861,AsstProf,A,Male,73800
7862,Prof,A,Male,92550
7863,AssocProf,A,Male,88600
7864,Prof,A,Male,107550
7865,Prof,A,Male,121200
7866,Prof,A,Male,126000
7867,Prof,A,Male,99000
7868,Prof,A,Male,134800
7869,Prof,A,Male,143940
7870,Prof,A,Male,104350
7871,Prof,A,Male,89650
7872,Prof,A,Male,103700
7873,Prof,A,Male,143250
7874,Prof,A,Male,194800
7875,AsstProf,A,Male,73000
7876,AsstProf,A,Male,74000
7877,AsstProf,A,Female,78500
7878,Prof,A,Male,93000
7879,Prof,A,Male,107200
7880,Prof,A,Male,163200
7881,Prof,A,Male,107100
7882,Prof,A,Male,100600
7883,Prof,A,Male,136500
7884,Prof,A,Male,103600
7885,Prof,A,Male,57800
7886,Prof,A,Male,155865
7887,AssocProf,A,Male,88650
7888,AssocProf,A,Male,81800
7889,Prof,A,Male,115800
7890,AsstProf,A,Male,85000
7891,Prof,A,Male,150500
7892,AsstProf,A,Male,74000
7893,Prof,A,Male,174500
7894,Prof,A,Male,168500
7895,Prof,A,Male,183800
7896,AssocProf,A,Male,104800
7897,Prof,A,Male,107300
7898,Prof,A,Male,97150
7899,Prof,A,Male,126300
7900,Prof,A,Male,148800
7901,Prof,A,Male,72300
7902,AssocProf,A,Male,70700
7903,Prof,A,Male,88600
7904,Prof,A,Male,127100
7905,Prof,A,Male,170500
7906,Prof,A,Male,105260
7907,Prof,A,Male,144050
7908,Prof,A,Male,111350
7909,AsstProf,A,Male,74500
7910,Prof,A,Male,122500
7911,AsstProf,A,Male,74000
7912,Prof,A,Male,166800
7913,Prof,A,Male,92050
7914,Prof,A,Male,108100
7915,Prof,A,Male,94350
7916,Prof,A,Male,100351
7917,Prof,A,Male,146800
7918,AsstProf,B,Male,84716
7919,AssocProf,B,Female,71065
7920,Prof,B,Male,67559
7921,Prof,B,Male,134550
7922,Prof,B,Male,135027
7923,Prof,B,Male,104428
7924,AssocProf,B,Male,95642
7925,AssocProf,B,Male,126431
7926,Prof,B,Female,161101
7927,Prof,B,Male,162221
7928,AsstProf,B,Male,84500
7929,Prof,B,Male,124714
7930,Prof,B,Male,151650
7931,AssocProf,B,Male,99247
7932,Prof,B,Male,134778
7933,Prof,B,Male,192253
7934,Prof,B,Male,116518
7935,Prof,B,Female,105450
7936,Prof,B,Male,145098
7937,AssocProf,B,Female,104542
7938,Prof,B,Male,151445
7939,Prof,B,Male,98053
7940,Prof,B,Male,145000
7941,Prof,B,Male,128464
7942,Prof,B,Male,137317
7943,Prof,B,Male,106231
7944,Prof,B,Female,124312
7945,Prof,B,Male,114596
7946,Prof,B,Male,162150
7947,Prof,B,Male,150376
7948,Prof,B,Male,107986
7949,Prof,B,Male,142023
7950,Prof,B,Male,128250
7951,AsstProf,B,Male,80139
7952,Prof,B,Male,144309
7953,Prof,B,Male,186960
7954,Prof,B,Male,93519
7955,Prof,B,Male,142500
7956,Prof,B,Male,138000
7957,AsstProf,B,Male,83600
7958,Prof,B,Male,145028
7959,Prof,A,Male,88709
7960,Prof,A,Male,107309
7961,Prof,A,Female,109954
7962,AsstProf,A,Male,78785
7963,Prof,A,Male,121946
7964,Prof,A,Female,109646
7965,Prof,A,Male,138771
7966,AssocProf,A,Male,81285
7967,Prof,A,Male,205500
7968,Prof,A,Male,101036
7969,Prof,A,Male,115435
7970,AssocProf,A,Male,108413
7971,Prof,A,Male,131950
7972,Prof,A,Male,134690
7973,AssocProf,A,Male,78182
7974,Prof,A,Male,110515
7975,Prof,A,Male,109707
7976,Prof,A,Male,136660
7977,Prof,A,Male,103275
7978,Prof,A,Male,103649
7979,AsstProf,A,Male,74856
7980,AsstProf,A,Male,77081
7981,Prof,A,Male,150680
7982,AssocProf,A,Male,104121
7983,AsstProf,A,Male,75996
7984,Prof,A,Male,172505
7985,AssocProf,A,Male,86895
7986,Prof,A,Male,105000
7987,Prof,A,Male,125192
7988,Prof,A,Male,114330
7989,Prof,A,Male,139219
7990,Prof,A,Male,109305
7991,Prof,A,Male,119450
7992,Prof,A,Male,186023
7993,Prof,A,Male,166605
7994,Prof,A,Male,151292
7995,Prof,A,Male,103106
7996,Prof,A,Male,150564
7997,Prof,A,Male,101738
7998,Prof,A,Male,95329
7999,AsstProf,A,Male,81035
8000,Prof,A,Male,102000
8001,Prof,A,Male,132000
8002,AsstProf,A,Female,77500
8003,Prof,A,Female,116450
8004,AssocProf,A,Male,83000
8005,Prof,A,Male,140300
8006,AssocProf,A,Male,74000
8007,AsstProf,A,Male,73800
8008,Prof,A,Male,92550
8009,AssocProf,A,Male,88600
8010,Prof,A,Male,107550
8011,Prof,A,Male,121200
8012,Prof,A,Male,126000
8013,Prof,A,Male,99000
8014,Prof,A,Male,134800
8015,Prof,A,Male,143940
8016,Prof,A,Male,104350
8017,Prof,A,Male,89650
8018,Prof,A,Male,103700
8019,Prof,A,Male,143250
8020,Prof,A,Male,194800
8021,AsstProf,A,Male,73000
8022,AsstProf,A,Male,74000
8023,AsstProf,A,Female,78500
8024,Prof,A,Male,93000
8025,Prof,A,Male,107200
8026,Prof,A,Male,163200
8027,Prof,A,Male,107100
8028,Prof,A,Male,100600
8029,Prof,A,Male,136500
8030,Prof,A,Male,103600
8031,Prof,A,Male,57800
8032,Prof,A,Male,155865
8033,AssocProf,A,Male,88650
8034,AssocProf,A,Male,81800
8035,Prof,A,Male,115800
8036,AsstProf,A,Male,85000
8037,Prof,A,Male,150500
8038,AsstProf,A,Male,74000
8039,Prof,A,Male,174500
8040,Prof,A,Male,168500
8041,Prof,A,Male,183800
8042,AssocProf,A,Male,104800
8043,Prof,A,Male,107300
8044,Prof,A,Male,97150
8045,Prof,A,Male,126300
8046,Prof,A,Male,148800
8047,Prof,A,Male,72300
8048,AssocProf,A,Male,70700
8049,Prof,A,Male,88600
8050,Prof,A,Male,127100
8051,Prof,A,Male,170500
8052,Prof,A,Male,105260
8053,Prof,A,Male,144050
8054,Prof,A,Male,111350
8055,AsstProf,A,Male,74500
8056,Prof,A,Male,122500
8057,AsstProf,A,Male,74000
8058,Prof,A,Male,166800
8059,Prof,A,Male,92050
8060,Prof,A,Male,108100
8061,Prof,A,Male,94350
8062,Prof,A,Male,100351
8063,Prof,A,Male,146800
8064,AsstProf,B,Male,84716
8065,AssocProf,B,Female,71065
8066,Prof,B,Male,67559
8067,Prof,B,Male,134550
8068,Prof,B,Male,135027
8069,Prof,B,Male,104428
8070,AssocProf,B,Male,95642
8071,AssocProf,B,Male,126431
8072,Prof,B,Female,161101
8073,Prof,B,Male,162221
8074,AsstProf,B,Male,84500
8075,Prof,B,Male,124714
8076,Prof,B,Male,151650
8077,AssocProf,B,Male,99247
8078,Prof,B,Male,134778
8079,Prof,B,Male,192253
8080,Prof,B,Male,116518
8081,Prof,B,Female,105450
8082,Prof,B,Male,145098
8083,AssocProf,B,Female,104542
8084,Prof,B,Male,151445
8085,Prof,B,Male,98053
8086,Prof,B,Male,145000
8087,Prof,B,Male,128464
8088,Prof,B,Male,137317
8089,Prof,B,Male,106231
8090,Prof,B,Female,124312
8091,Prof,B,Male,114596
8092,Prof,B,Male,162150
8093,Prof,B,Male,150376
8094,Prof,B,Male,107986
8095,Prof,B,Male,142023
8096,Prof,B,Male,128250
8097,AsstProf,B,Male,80139
8098,Prof,B,Male,144309
8099,Prof,B,Male,186960
8100,Prof,B,Male,93519
8101,Prof,B,Male,142500
8102,Prof,B,Male,138000
8103,AsstProf,B,Male,83600
8104,Prof,B,Male,145028
8105,Prof,A,Male,88709
8106,Prof,A,Male,107309
8107,Prof,A,Female,109954
8108,AsstProf,A,Male,78785
8109,Prof,A,Male,121946
8110,Prof,A,Female,109646
8111,Prof,A,Male,138771
8112,AssocProf,A,Male,81285
8113,Prof,A,Male,205500
8114,Prof,A,Male,101036
8115,Prof,A,Male,115435
8116,AssocProf,A,Male,108413
8117,Prof,A,Male,131950
8118,Prof,A,Male,134690
8119,AssocProf,A,Male,78182
8120,Prof,A,Male,110515
8121,Prof,A,Male,109707
8122,Prof,A,Male,136660
8123,Prof,A,Male,103275
8124,Prof,A,Male,103649
8125,AsstProf,A,Male,74856
8126,AsstProf,A,Male,77081
8127,Prof,A,Male,150680
8128,AssocProf,A,Male,104121
8129,AsstProf,A,Male,75996
8130,Prof,A,Male,172505
8131,AssocProf,A,Male,86895
8132,Prof,A,Male,105000
8133,Prof,A,Male,125192
8134,Prof,A,Male,114330
8135,Prof,A,Male,139219
8136,Prof,A,Male,109305
8137,Prof,A,Male,119450
8138,Prof,A,Male,186023
8139,Prof,A,Male,166605
8140,Prof,A,Male,151292
8141,Prof,A,Male,103106
8142,Prof,A,Male,150564
8143,Prof,A,Male,101738
8144,Prof,A,Male,95329
8145,AsstProf,A,Male,81035
8146,Prof,B,Male,139750
8147,Prof,B,Male,173200
8148,AsstProf,B,Male,79750
8149,Prof,B,Male,115000
8150,Prof,B,Male,141500
8151,AssocProf,B,Male,97000
8152,Prof,B,Male,175000
8153,Prof,B,Male,147765
8154,Prof,B,Male,119250
8155,Prof,B,Female,129000
8156,AssocProf,B,Male,119800
8157,AsstProf,B,Male,79800
8158,AsstProf,B,Male,77700
8159,AsstProf,B,Male,78000
8160,Prof,B,Male,104800
8161,Prof,B,Male,117150
8162,Prof,B,Male,101000
8163,Prof,A,Male,103450
8164,Prof,A,Male,124750
8165,Prof,A,Female,137000
8166,Prof,A,Male,89565
8167,Prof,A,Male,102580
8168,Prof,A,Male,93904
8169,Prof,A,Male,113068
8170,AssocProf,A,Female,74830
8171,Prof,A,Male,106294
8172,Prof,A,Male,134885
8173,AsstProf,B,Male,82379
8174,AsstProf,B,Male,77000
8175,Prof,B,Male,118223
8176,Prof,B,Male,132261
8177,AsstProf,B,Male,79916
8178,Prof,B,Male,117256
8179,AsstProf,B,Male,80225
8180,AsstProf,B,Female,80225
8181,AsstProf,B,Female,77000
8182,Prof,B,Male,155750
8183,AsstProf,B,Male,86373
8184,Prof,B,Male,125196
8185,AssocProf,B,Male,100938
8186,Prof,B,Male,146500
8187,AssocProf,B,Male,93418
8188,Prof,B,Male,101299
8189,Prof,B,Male,231545
8190,Prof,B,Male,94384
8191,Prof,B,Male,114778
8192,Prof,B,Male,98193
8193,Prof,B,Female,151768
8194,Prof,B,Female,140096
8195,AsstProf,B,Male,70768
8196,Prof,B,Male,126621
8197,Prof,B,Male,108875
8198,AsstProf,B,Female,74692
8199,Prof,B,Male,106639
8200,AssocProf,B,Male,103760
8201,AssocProf,B,Male,83900
8202,Prof,B,Male,117704
8203,AssocProf,B,Male,90215
8204,AssocProf,B,Male,100135
8205,AsstProf,B,Male,75044
8206,AssocProf,B,Male,90304
8207,AsstProf,B,Male,75243
8208,Prof,B,Male,109785
8209,AssocProf,B,Female,103613
8210,AsstProf,B,Male,68404
8211,AssocProf,B,Male,100522
8212,Prof,B,Male,101000
8213,Prof,B,Male,99418
8214,Prof,B,Female,111512
8215,Prof,B,Male,91412
8216,Prof,B,Male,126320
8217,Prof,B,Male,146856
8218,Prof,B,Male,100131
8219,Prof,B,Male,92391
8220,Prof,B,Male,113398
8221,AsstProf,B,Male,73266
8222,Prof,B,Male,150480
8223,Prof,B,Male,193000
8224,AsstProf,B,Male,86100
8225,AsstProf,B,Male,84240
8226,Prof,B,Male,150743
8227,Prof,B,Male,135585
8228,Prof,B,Male,144640
8229,AsstProf,B,Male,88825
8230,Prof,B,Female,122960
8231,Prof,B,Male,132825
8232,Prof,B,Male,152708
8233,AsstProf,B,Male,88400
8234,Prof,B,Male,172272
8235,AssocProf,B,Male,107008
8236,AsstProf,B,Female,97032
8237,AssocProf,B,Male,105128
8238,AssocProf,B,Male,105631
8239,Prof,B,Male,166024
8240,Prof,B,Male,123683
8241,AsstProf,B,Male,84000
8242,AssocProf,B,Male,95611
8243,Prof,B,Male,129676
8244,Prof,B,Male,102235
8245,Prof,B,Male,106689
8246,Prof,B,Male,133217
8247,Prof,B,Male,126933
8248,Prof,B,Male,153303
8249,Prof,B,Female,127512
8250,AssocProf,A,Male,83850
8251,Prof,A,Male,113543
8252,AssocProf,A,Male,82099
8253,AssocProf,A,Male,82600
8254,AssocProf,A,Male,81500
8255,Prof,A,Male,131205
8256,Prof,A,Male,112429
8257,AssocProf,A,Male,82100
8258,AsstProf,A,Male,72500
8259,Prof,A,Male,104279
8260,Prof,A,Female,105000
8261,Prof,A,Male,120806
8262,Prof,A,Male,148500
8263,Prof,A,Male,117515
8264,AsstProf,A,Male,72500
8265,AsstProf,A,Female,73500
8266,Prof,A,Male,115313
8267,Prof,A,Male,124309
8268,Prof,A,Male,97262
8269,AssocProf,A,Female,62884
8270,Prof,A,Male,96614
8271,Prof,A,Male,78162
8272,Prof,A,Male,155500
8273,AsstProf,A,Female,72500
8274,Prof,A,Male,113278
8275,AsstProf,A,Male,73000
8276,AssocProf,A,Male,83001
8277,Prof,A,Male,76840
8278,AssocProf,A,Female,77500
8279,AsstProf,A,Female,72500
8280,Prof,A,Male,168635
8281,Prof,A,Male,136000
8282,Prof,A,Male,108262
8283,Prof,A,Male,105668
8284,AssocProf,A,Male,73877
8285,Prof,A,Male,152664
8286,AssocProf,A,Male,100102
8287,AssocProf,A,Male,81500
8288,Prof,A,Male,106608
8289,AsstProf,B,Male,89942
8290,Prof,B,Male,112696
8291,Prof,B,Male,119015
8292,AsstProf,B,Male,92000
8293,Prof,B,Male,156938
8294,Prof,B,Female,144651
8295,AsstProf,B,Male,95079
8296,Prof,B,Male,128148
8297,AsstProf,B,Male,92000
8298,Prof,B,Male,111168
8299,AssocProf,B,Female,103994
8300,AsstProf,B,Male,92000
8301,Prof,B,Male,118971
8302,AssocProf,B,Male,113341
8303,AsstProf,B,Male,88000
8304,AssocProf,B,Male,95408
8305,Prof,B,Male,137167
8306,AsstProf,B,Male,89516
8307,Prof,B,Male,176500
8308,AssocProf,B,Male,98510
8309,AsstProf,B,Male,89942
8310,AsstProf,B,Male,88795
8311,Prof,B,Male,105890
8312,Prof,B,Male,167284
8313,Prof,B,Male,130664
8314,AssocProf,B,Male,101210
8315,Prof,B,Male,181257
8316,AsstProf,B,Male,91227
8317,Prof,B,Male,151575
8318,Prof,B,Male,93164
8319,Prof,B,Male,134185
8320,AssocProf,B,Male,105000
8321,Prof,B,Male,111751
8322,AssocProf,B,Male,95436
8323,AssocProf,B,Male,100944
8324,Prof,B,Male,147349
8325,AsstProf,B,Female,92000
8326,Prof,B,Male,142467
8327,Prof,B,Male,141136
8328,AssocProf,B,Male,100000
8329,Prof,B,Male,150000
8330,Prof,B,Male,101000
8331,Prof,B,Male,134000
8332,AssocProf,B,Female,103750
8333,Prof,B,Male,107500
8334,AssocProf,B,Male,106300
8335,Prof,B,Male,153750
8336,Prof,B,Male,180000
8337,Prof,B,Male,133700
8338,Prof,B,Male,122100
8339,AssocProf,B,Male,86250
8340,AssocProf,B,Male,90000
8341,AssocProf,B,Male,113600
8342,AsstProf,B,Male,92700
8343,AsstProf,B,Male,92000
8344,Prof,B,Male,189409
8345,Prof,B,Male,114500
8346,AsstProf,B,Male,92700
8347,Prof,B,Male,119700
8348,Prof,B,Male,160400
8349,Prof,B,Male,152500
8350,Prof,B,Male,165000
8351,Prof,B,Male,96545
8352,Prof,B,Male,162200
8353,Prof,B,Male,120000
8354,AsstProf,B,Male,91300
8355,Prof,B,Male,163200
8356,AsstProf,B,Male,91000
8357,Prof,B,Male,111350
8358,Prof,B,Male,128400
8359,Prof,B,Male,126200
8360,AssocProf,B,Male,118700
8361,Prof,B,Male,145350
8362,Prof,B,Male,146000
8363,AssocProf,B,Male,105350
8364,AssocProf,B,Female,109650
8365,Prof,B,Male,119500
8366,Prof,B,Male,170000
8367,Prof,B,Male,145200
8368,AssocProf,B,Male,107150
8369,Prof,B,Male,129600
8370,Prof,A,Male,87800
8371,Prof,A,Male,122400
8372,AsstProf,A,Male,63900
8373,AssocProf,A,Male,70000
8374,Prof,A,Male,88175
8375,Prof,A,Male,133900
8376,Prof,A,Female,91000
8377,AssocProf,A,Female,73300
8378,Prof,A,Male,148750
8379,Prof,A,Female,117555
8380,AsstProf,A,Male,69700
8381,Prof,A,Male,81700
8382,Prof,A,Male,114000
8383,AsstProf,A,Female,63100
8384,Prof,A,Male,77202
8385,Prof,A,Male,96200
8386,AsstProf,A,Male,69200
8387,Prof,A,Male,122875
8388,Prof,A,Male,102600
8389,Prof,A,Male,108200
8390,Prof,A,Male,84273
8391,Prof,A,Female,90450
8392,Prof,A,Male,91100
8393,Prof,A,Male,101100
8394,Prof,A,Male,128800
8395,Prof,A,Male,204000
8396,Prof,A,Male,109000
8397,Prof,A,Male,102000
8398,Prof,A,Male,132000
8399,AsstProf,A,Female,77500
8400,Prof,A,Female,116450
8401,AssocProf,A,Male,83000
8402,Prof,A,Male,140300
8403,AssocProf,A,Male,74000
8404,AsstProf,A,Male,73800
8405,Prof,A,Male,92550
8406,AssocProf,A,Male,88600
8407,Prof,A,Male,107550
8408,Prof,A,Male,121200
8409,Prof,A,Male,126000
8410,Prof,A,Male,99000
8411,Prof,A,Male,134800
8412,Prof,A,Male,143940
8413,Prof,A,Male,104350
8414,Prof,A,Male,89650
8415,Prof,A,Male,103700
8416,Prof,A,Male,143250
8417,Prof,A,Male,194800
8418,AsstProf,A,Male,73000
8419,AsstProf,A,Male,74000
8420,AsstProf,A,Female,78500
8421,Prof,A,Male,93000
8422,Prof,A,Male,107200
8423,Prof,A,Male,163200
8424,Prof,A,Male,107100
8425,Prof,A,Male,100600
8426,Prof,A,Male,136500
8427,Prof,A,Male,103600
8428,Prof,A,Male,57800
8429,Prof,A,Male,155865
8430,AssocProf,A,Male,88650
8431,AssocProf,A,Male,81800
8432,Prof,A,Male,115800
8433,AsstProf,A,Male,85000
8434,Prof,A,Male,150500
8435,AsstProf,A,Male,74000
8436,Prof,A,Male,174500
8437,Prof,A,Male,168500
8438,Prof,A,Male,183800
8439,AssocProf,A,Male,104800
8440,Prof,A,Male,107300
8441,Prof,A,Male,97150
8442,Prof,A,Male,126300
8443,Prof,A,Male,148800
8444,Prof,A,Male,72300
8445,AssocProf,A,Male,70700
8446,Prof,A,Male,88600
8447,Prof,A,Male,127100
8448,Prof,A,Male,170500
8449,Prof,A,Male,105260
8450,Prof,A,Male,144050
8451,Prof,A,Male,111350
8452,AsstProf,A,Male,74500
8453,Prof,A,Male,122500
8454,AsstProf,A,Male,74000
8455,Prof,A,Male,166800
8456,Prof,A,Male,92050
8457,Prof,A,Male,108100
8458,Prof,A,Male,94350
8459,Prof,A,Male,100351
8460,Prof,A,Male,146800
8461,AsstProf,B,Male,84716
8462,AssocProf,B,Female,71065
8463,Prof,B,Male,67559
8464,Prof,B,Male,134550
8465,Prof,B,Male,135027
8466,Prof,B,Male,104428
8467,AssocProf,B,Male,95642
8468,AssocProf,B,Male,126431
8469,Prof,B,Female,161101
8470,Prof,B,Male,162221
8471,AsstProf,B,Male,84500
8472,Prof,B,Male,124714
8473,Prof,B,Male,151650
8474,AssocProf,B,Male,99247
8475,Prof,B,Male,134778
8476,Prof,B,Male,192253
8477,Prof,B,Male,116518
8478,Prof,B,Female,105450
8479,Prof,B,Male,145098
8480,AssocProf,B,Female,104542
8481,Prof,B,Male,151445
8482,Prof,B,Male,98053
8483,Prof,B,Male,145000
8484,Prof,B,Male,128464
8485,Prof,B,Male,137317
8486,Prof,B,Male,106231
8487,Prof,B,Female,124312
8488,Prof,B,Male,114596
8489,Prof,B,Male,162150
8490,Prof,B,Male,150376
8491,Prof,B,Male,107986
8492,Prof,B,Male,142023
8493,Prof,B,Male,128250
8494,AsstProf,B,Male,80139
8495,Prof,B,Male,144309
8496,Prof,B,Male,186960
8497,Prof,B,Male,93519
8498,Prof,B,Male,142500
8499,Prof,B,Male,138000
8500,AsstProf,B,Male,83600
8501,Prof,B,Male,145028
8502,Prof,A,Male,88709
8503,Prof,A,Male,107309
8504,Prof,A,Female,109954
8505,AsstProf,A,Male,78785
8506,Prof,A,Male,121946
8507,Prof,A,Female,109646
8508,Prof,A,Male,138771
8509,AssocProf,A,Male,81285
8510,Prof,A,Male,205500
8511,Prof,A,Male,101036
8512,Prof,A,Male,115435
8513,AssocProf,A,Male,108413
8514,Prof,A,Male,131950
8515,Prof,A,Male,134690
8516,AssocProf,A,Male,78182
8517,Prof,A,Male,110515
8518,Prof,A,Male,109707
8519,Prof,A,Male,136660
8520,Prof,A,Male,103275
8521,Prof,A,Male,103649
8522,AsstProf,A,Male,74856
8523,AsstProf,A,Male,77081
8524,Prof,A,Male,150680
8525,AssocProf,A,Male,104121
8526,AsstProf,A,Male,75996
8527,Prof,A,Male,172505
8528,AssocProf,A,Male,86895
8529,Prof,A,Male,105000
8530,Prof,A,Male,125192
8531,Prof,A,Male,114330
8532,Prof,A,Male,139219
8533,Prof,A,Male,109305
8534,Prof,A,Male,119450
8535,Prof,A,Male,186023
8536,Prof,A,Male,166605
8537,Prof,A,Male,151292
8538,Prof,A,Male,103106
8539,Prof,A,Male,150564
8540,Prof,A,Male,101738
8541,Prof,A,Male,95329
8542,AsstProf,A,Male,81035
8543,Prof,A,Male,102000
8544,Prof,A,Male,132000
8545,AsstProf,A,Female,77500
8546,Prof,A,Female,116450
8547,AssocProf,A,Male,83000
8548,Prof,A,Male,140300
8549,AssocProf,A,Male,74000
8550,AsstProf,A,Male,73800
8551,Prof,A,Male,92550
8552,AssocProf,A,Male,88600
8553,Prof,A,Male,107550
8554,Prof,A,Male,121200
8555,Prof,A,Male,126000
8556,Prof,A,Male,99000
8557,Prof,A,Male,134800
8558,Prof,A,Male,143940
8559,Prof,A,Male,104350
8560,Prof,A,Male,89650
8561,Prof,A,Male,103700
8562,Prof,A,Male,143250
8563,Prof,A,Male,194800
8564,AsstProf,A,Male,73000
8565,AsstProf,A,Male,74000
8566,AsstProf,A,Female,78500
8567,Prof,A,Male,93000
8568,Prof,A,Male,107200
8569,Prof,A,Male,163200
8570,Prof,A,Male,107100
8571,Prof,A,Male,100600
8572,Prof,A,Male,136500
8573,Prof,A,Male,103600
8574,Prof,A,Male,57800
8575,Prof,A,Male,155865
8576,AssocProf,A,Male,88650
8577,AssocProf,A,Male,81800
8578,Prof,A,Male,115800
8579,AsstProf,A,Male,85000
8580,Prof,A,Male,150500
8581,AsstProf,A,Male,74000
8582,Prof,A,Male,174500
8583,Prof,A,Male,168500
8584,Prof,A,Male,183800
8585,AssocProf,A,Male,104800
8586,Prof,A,Male,107300
8587,Prof,A,Male,97150
8588,Prof,A,Male,126300
8589,Prof,A,Male,148800
8590,Prof,A,Male,72300
8591,AssocProf,A,Male,70700
8592,Prof,A,Male,88600
8593,Prof,A,Male,127100
8594,Prof,A,Male,170500
8595,Prof,A,Male,105260
8596,Prof,A,Male,144050
8597,Prof,A,Male,111350
8598,AsstProf,A,Male,74500
8599,Prof,A,Male,122500
8600,AsstProf,A,Male,74000
8601,Prof,A,Male,166800
8602,Prof,A,Male,92050
8603,Prof,A,Male,108100
